sd_num,attn_dropout_a,attn_dropout_v,relu_dropout,embed_dropout,res_dropout,dst_feature_dim_nheads,batch_size,learning_rate,nlevels,conv1d_kernel_size_l,conv1d_kernel_size_a,conv1d_kernel_size_v,text_dropout,attn_dropout,output_dropout,grad_clip,patience,weight_decay,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
256,0.1,0.0,0.2,0.1,0.0,"[40, 10]",16,4e-05,2,3,3,5,0.4,0.1,0.3,0.6,5,0.005,0.8134,0.8132,0.8323,0.8327,0.5321,0.4606,0.7308,0.7982,0.7303
1024,0.0,0.1,0.2,0.2,0.1,"[30, 6]",16,5e-05,6,5,1,1,0.2,0.1,0.4,0.8,5,0.005,0.812,0.8115,0.8277,0.8279,0.5131,0.4504,0.7435,0.7774,0.7428
256,0.2,0.0,0.0,0.1,0.0,"[50, 10]",16,4e-05,6,3,1,1,0.2,0.2,0.4,0.6,5,0.005,0.8076,0.8068,0.8277,0.8277,0.5262,0.4606,0.7483,0.779,0.7476
256,0.0,0.2,0.2,0.2,0.0,"[30, 6]",16,3e-05,4,5,5,1,0.2,0.3,0.2,0.6,5,0.005,0.8265,0.8258,0.8476,0.8475,0.5204,0.449,0.7407,0.7896,0.7401
512,0.0,0.1,0.1,0.1,0.1,"[40, 5]",24,4e-05,4,3,1,3,0.4,0.4,0.3,1.0,5,0.005,0.8265,0.8268,0.8384,0.8392,0.5073,0.4446,0.774,0.7843,0.772
512,0.2,0.2,0.0,0.1,0.0,"[30, 10]",16,5e-05,4,3,3,1,0.2,0.1,0.2,0.6,5,0.005,0.8251,0.8252,0.8384,0.839,0.5219,0.4577,0.7444,0.7855,0.7436
512,0.0,0.0,0.0,0.1,0.2,"[30, 10]",16,5e-05,2,1,3,5,0.1,0.3,0.4,0.8,5,0.005,0.8149,0.8146,0.8293,0.8295,0.5248,0.4606,0.7415,0.7889,0.7408
256,0.0,0.2,0.1,0.1,0.1,"[50, 10]",16,5e-05,2,5,1,1,0.1,0.2,0.1,0.8,5,0.005,0.8222,0.8214,0.8415,0.8413,0.5277,0.4504,0.7431,0.7878,0.7426
1024,0.1,0.1,0.1,0.2,0.0,"[50, 10]",24,4e-05,4,3,3,1,0.3,0.1,0.4,0.8,5,0.005,0.8207,0.8206,0.8384,0.8389,0.516,0.4504,0.751,0.7903,0.7477
512,0.2,0.0,0.2,0.2,0.2,"[40, 5]",24,3e-05,6,3,1,3,0.4,0.1,0.1,0.6,5,0.005,0.8061,0.8058,0.8232,0.8235,0.4985,0.43,0.7543,0.7856,0.7516
